Date,Open,High,Low,Close,Volume,Adj Close
2000-03-31,149.625,152.3125,148.4375,150.375,150.375,150.375
2000-04-03,150.125,151.25,148.6875,151.25,151.25,151.25
2000-04-04,151.75,153.0,141.3906,150.125,150.125,150.125
2000-04-05,147.875,150.8125,147.625,149.1875,149.1875,149.1875
2000-04-06,150.25,151.6875,149.0,150.4843,150.4843,150.4843
2000-04-07,151.5625,152.125,150.5,151.4375,151.4375,151.4375
2000-04-10,151.75,153.1093,150.3125,150.8437,150.8437,150.8437
2000-04-11,150.0,151.625,148.375,150.4062,150.4062,150.4062
2000-04-12,150.375,151.1562,146.1562,146.2812,146.2812,146.2812
2000-04-13,147.4687,148.1562,143.7812,144.25,144.25,144.25
2000-04-14,142.625,142.8125,133.5,136.0,136.0,136.0
2000-04-17,135.1875,140.75,134.6875,140.75,140.75,140.75
2000-04-18,140.5625,144.4687,139.7812,144.4687,144.4687,144.4687
2000-04-19,144.5,145.125,142.5312,143.125,143.125,143.125
2000-04-20,143.5625,143.9375,142.375,143.8125,143.8125,143.8125
2000-04-24,141.5,143.3125,140.5,142.25,142.25,142.25
2000-04-25,144.625,148.1562,144.4375,148.1562,148.1562,148.1562
2000-04-26,147.9687,148.75,146.0,146.4843,146.4843,146.4843
2000-04-27,143.0,147.3437,143.0,146.0,146.0,146.0
2000-04-28,147.0,147.8593,145.0625,145.0937,145.0937,145.0937
2000-05-01,146.5625,148.4843,145.8437,147.0625,147.0625,147.0625
2000-05-02,145.5,147.125,144.125,144.125,144.125,144.125
2000-05-03,144.0,144.0,139.7812,140.75,140.75,140.75
2000-05-04,142.0,142.3593,140.75,141.8125,141.8125,141.8125
2000-05-05,141.0625,144.0,140.9375,143.5312,143.5312,143.5312
2000-05-08,142.75,143.375,141.8437,142.4531,142.4531,142.4531
2000-05-09,143.0625,143.4062,140.2656,141.3125,141.3125,141.3125
2000-05-10,140.5,140.9687,137.75,138.125,138.125,138.125
2000-05-11,140.125,141.5,139.125,141.2812,141.2812,141.2812
2000-05-12,141.8125,143.4687,141.625,142.8125,142.8125,142.8125
2000-05-15,142.75,145.6093,142.0,145.2812,145.2812,145.2812
2000-05-16,146.5625,147.7187,145.3125,146.6875,146.6875,146.6875
2000-05-17,145.6875,146.1875,144.4687,145.1562,145.1562,145.1562
2000-05-18,145.625,146.3125,143.375,143.375,143.375,143.375
2000-05-19,142.5625,143.2343,140.4062,141.125,141.125,141.125
2000-05-22,141.25,141.4687,137.0,140.0625,140.0625,140.0625
2000-05-23,140.4375,140.8125,137.5625,138.0,138.0,138.0
2000-05-24,138.0,140.6875,136.5,140.25,140.25,140.25
2000-05-25,140.6875,141.8125,137.7187,137.8437,137.8437,137.8437
2000-05-26,138.8125,139.6875,137.3281,138.0,138.0,138.0
2000-05-30,140.0,142.9375,139.4687,142.5,142.5,142.5
2000-05-31,142.5625,144.0,142.0937,142.8125,142.8125,142.8125
2000-06-01,143.6875,145.4375,143.0,145.3125,145.3125,145.3125
2000-06-02,148.9375,149.0937,147.4843,147.8437,147.8437,147.8437
2000-06-05,147.4687,148.2187,146.875,147.125,147.125,147.125
2000-06-06,146.625,147.7812,145.9062,146.4687,146.4687,146.4687
2000-06-07,146.625,148.0,146.0,147.4843,147.4843,147.4843
2000-06-08,147.5,147.75,146.0625,146.9062,146.9062,146.9062
2000-06-09,147.5,147.9687,145.625,146.5937,146.5937,146.5937
2000-06-12,146.9687,146.9687,144.875,144.875,144.875,144.875
2000-06-13,144.8125,147.75,144.625,147.5937,147.5937,147.5937
2000-06-14,148.25,148.875,147.1875,147.8437,147.8437,147.8437
2000-06-15,148.125,148.75,146.8437,148.1562,148.1562,148.1562
2000-06-16,148.3125,148.3125,145.875,146.5937,146.5937,146.5937
2000-06-19,146.4687,149.1562,146.25,148.4687,148.4687,148.4687
2000-06-20,148.1875,148.875,147.0,147.9375,147.9375,147.9375
2000-06-21,146.9375,148.4375,146.8906,147.875,147.875,147.875
2000-06-22,147.5625,147.6875,145.0,145.625,145.625,145.625
2000-06-23,145.8125,146.125,143.875,144.375,144.375,144.375
2000-06-26,145.375,146.25,144.875,146.2343,146.2343,146.2343
2000-06-27,145.9843,146.7187,145.0156,145.1562,145.1562,145.1562
2000-06-28,145.625,146.9843,145.3125,145.5625,145.5625,145.5625
2000-06-29,144.75,145.75,143.5156,144.1875,144.1875,144.1875
2000-06-30,143.9375,145.5937,143.8906,145.2812,145.2812,145.2812
2000-07-03,145.4375,147.4375,145.1875,147.2812,147.2812,147.2812
2000-07-05,146.375,146.6562,144.375,144.625,144.625,144.625
2000-07-06,144.9375,146.4687,144.2187,145.75,145.75,145.75
2000-07-07,146.6875,148.7812,146.25,148.0937,148.0937,148.0937
2000-07-10,147.875,148.9062,147.5312,147.8437,147.8437,147.8437
2000-07-11,147.4687,149.125,147.1562,148.1562,148.1562,148.1562
2000-07-12,149.2812,150.125,148.6875,149.125,149.125,149.125
